dima_code,technique_name_fr,technique_name_en,dima_family,infoverif_primary,infoverif_secondary,weight_I_p,weight_N_s,weight_F_f,semantic_features,example_keywords
TE-01,Appel à l'émotion,Emotional appeal,Émotion,I_p,,0.8,0.0,0.2,"Affect lexicon, urgency markers, exclamations","choquant,terrifiant,urgent,scandaleux"
TE-02,Peur / Menace,Fear / Threat,Émotion,I_p,,0.9,0.0,0.1,"Threat language, catastrophic scenarios, conditional warnings","danger,risque,menace,si tu ne,catastrophe"
TE-03,Indignation / Colère,Outrage / Anger,Émotion,I_p,,0.85,0.0,0.15,"Anger verbs, moral outrage, injustice framing","scandaleux,inacceptable,révolte,honte,inadmissible"
TE-04,Tristesse / Compassion,Sadness / Compassion,Émotion,I_p,,0.75,0.0,0.25,"Empathy triggers, suffering descriptions, victimization","pauvre,souffrance,victime,tragique,pitié"
TE-05,Joie / Espoir artificiel,Artificial joy / hope,Émotion,I_p,,0.7,0.0,0.3,"Unrealistic promises, utopian scenarios, exaggerated optimism","miracle,formidable,extraordinaire,rêve,merveilleux"
TE-06,Dégoût / Mépris,Disgust / Contempt,Émotion,I_p,F_f,0.8,0.0,0.2,"Dehumanizing language, moral superiority, disdain markers","répugnant,dégueulasse,minable,pathétique,lamentable"
TE-07,Culpabilisation,Guilt-tripping,Émotion,I_p,,0.75,0.0,0.25,"Moral pressure, responsibility attribution, shame inducement","ta faute,tu aurais dû,honte à toi,responsable"
TE-08,Langage chargé,Loaded language,Émotion,I_p,,0.85,0.0,0.15,"Sensationalist adjectives, hyperbolic terms, charged vocabulary","catastrophique,désastreux,incroyable,ahurissant"
TE-09,Appel à la nostalgie,Nostalgia appeal,Émotion,I_p,,0.65,0.0,0.35,"Idealized past, 'good old days', temporal contrast","avant,autrefois,c'était mieux,époque bénie"
TE-10,Urgence artificielle,Artificial urgency,Émotion,I_p,,0.8,0.0,0.2,"Time pressure, scarcity framing, deadline emphasis","maintenant,vite,urgent,immédiatement,avant qu'il soit trop tard"
TE-11,Sur-simplification,Oversimplification,Simplification,I_p,F_f,0.6,0.0,0.4,"Reductionism, complexity denial, 'just' rhetoric","il suffit de,simple,juste,seulement,facile"
TE-12,Cadrage dichotomique,Binary framing,Simplification,I_p,,0.75,0.0,0.25,"Us vs them, in-group out-group, polarization","eux,nous,les autres,notre camp,l'ennemi"
TE-13,Pensée binaire,Binary thinking,Simplification,I_p,F_f,0.6,0.0,0.4,"Two-option framing, excluded middle, false dichotomy","soit,ou,pas d'autre choix,seulement deux options"
TE-14,Ennemi commun,Common enemy,Simplification,I_p,N_s,0.7,0.2,0.1,"Scapegoating, unified threat, external attribution","à cause d'eux,leur faute,ils sont responsables"
TE-15,Slogan / Formule choc,Slogan / Catchphrase,Simplification,I_p,,0.7,0.0,0.3,"Memorable phrases, repetition, rhetorical devices","(structural pattern - short repeated phrases)"
TE-16,Métaphore militaire,Military metaphor,Simplification,I_p,,0.65,0.0,0.35,"War vocabulary, combat framing, enemy designation","guerre,bataille,combat,ennemi,victoire"
TE-17,Analogie trompeuse,Misleading analogy,Simplification,F_f,I_p,0.3,0.0,0.7,"Inappropriate comparisons, false equivalences","comme,tel que,comparable à,similaire"
TE-18,Personnification abstraite,Abstract personification,Simplification,I_p,,0.55,0.0,0.45,"Attributing agency to abstract concepts, conspiracy hints","le système,l'État,l'élite,les puissants"
TE-19,Caricature,Caricature,Simplification,I_p,,0.7,0.0,0.3,"Exaggerated traits, stereotyping, reductionist portrayal","tous les,typique,toujours pareil,comme d'habitude"
TE-20,Narration héroïque,Heroic narrative,Simplification,I_p,,0.65,0.0,0.35,"Hero vs villain framing, moral absolutism, epic struggle","héros,sauveur,courageux,noble combat"
TE-21,Logique binaire simpliste,Simplistic binary logic,Simplification,I_p,F_f,0.6,0.0,0.4,"Two-valued thinking, gray area denial, reductionist framing","noir ou blanc,avec nous ou contre nous,pas de nuance"
TE-22,Faux dilemme,False dilemma,Simplification,I_p,F_f,0.6,0.0,0.4,"Either-or framing, excluded alternatives, forced choice","soit X soit Y,pas d'autre choix,seulement deux possibilités"
TE-23,Réductionnisme causal,Causal reductionism,Simplification,F_f,N_s,0.2,0.3,0.5,"Monocausal explanations, oversimplified causality","à cause de,c'est la faute de,provient uniquement de"
TE-24,Homogénéisation,Homogenization,Simplification,I_p,F_f,0.5,0.0,0.5,"Group uniformity claims, stereotyping, diversity denial","tous,tous les X sont Y,sans exception"
TE-25,Stéréotype,Stereotype,Simplification,I_p,F_f,0.6,0.0,0.4,"Fixed group characteristics, oversimplified traits","les X sont toujours,typique des Y,comme tous les Z"
TE-26,Essentialisation,Essentialization,Simplification,I_p,F_f,0.5,0.1,0.4,"Inherent nature claims, immutability, determinism","dans leur nature,c'est leur essence,ils sont comme ça"
TE-27,Pente glissante,Slippery slope,Simplification,I_p,F_f,0.5,0.1,0.4,"Chain reaction claims, inevitable progression, catastrophism","si on fait X alors Y puis Z,mènera inévitablement à"
TE-28,Généralisation abusive,Overgeneralization,Simplification,F_f,I_p,0.4,0.0,0.6,"Universal quantifiers, anecdote to rule, hasty generalization","tous,toujours,jamais,aucun,n'importe qui"
TE-29,Extrapolation excessive,Excessive extrapolation,Simplification,F_f,I_p,0.3,0.1,0.6,"Trend extension beyond data, unfounded predictions","dans 10 ans,à ce rythme,bientôt tous,d'ici peu"
TE-30,Raccourci cognitif,Cognitive shortcut,Simplification,I_p,F_f,0.5,0.0,0.5,"Heuristic exploitation, quick judgment appeal","c'est évident,bon sens,tout le monde sait"
TE-31,Ad hominem,Ad hominem,Discrédit,F_f,I_p,0.3,0.0,0.7,"Personal attacks, character assassination, credential questioning","tu es un,incompétent,menteur,corrompu"
TE-32,Attaque sur les motivations,Motive questioning,Discrédit,F_f,I_p,0.4,0.1,0.5,"Intent attribution, hidden agenda claims, cynicism","en réalité tu veux,ton vrai but,tes vrais intérêts"
TE-33,Association négative,Negative association,Discrédit,I_p,F_f,0.6,0.0,0.4,"Guilt by association, tainted connection, smear by proxy","ami de,lié à,proche de,soutenu par"
TE-34,Reductio ad Hitlerum,Reductio ad Hitlerum,Discrédit,I_p,F_f,0.5,0.0,0.5,"Nazi comparison, extreme historical parallel, Godwin's law","comme Hitler,fasciste,nazi,totalitaire"
